PeakID (cmd=annotatePeaks.pl filtered_peaks.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr12-3212	chr12	52050723	52050965	+	1	NA	promoter-TSS (ENST00000243050.5)	protein_coding-promoter-TSS (ENST00000243050.5)	-558	ENST00000243050.5	ENSG00000123358	ENST00000243050			NR4A1			protein_coding
chr19-80	chr19	58278631	58278873	+	1	NA	promoter-TSS (ENST00000591325.1)	lncRNA-promoter-TSS (ENST00000591325.1)	56	ENST00000693494.1	ENSG00000268516	ENST00000693494			ZNF8-DT			lncRNA
chr9-1347	chr9	130962624	130962866	+	1	NA	Intergenic	Intergenic	-23459	ENST00000463475.1	ENSG00000130720	ENST00000372338			FIBCD1			protein_coding
chr5-2382	chr5	119070903	119071145	+	1	NA	promoter-TSS (ENST00000311085.8)	protein_coding-promoter-TSS (ENST00000311085.8)	-63	ENST00000539542.6	ENSG00000172869	ENST00000512281			DMXL1			protein_coding
chr19-1091	chr19	35628908	35629150	+	1	NA	promoter-TSS (ENST00000262633.9)	protein_coding-promoter-TSS (ENST00000262633.9)	-1	ENST00000588161.5	ENSG00000126254	ENST00000588161			RBM42			protein_coding
chr17-447	chr17	58387854	58388096	+	1	NA	intron (ENST00000581868.1, intron 1 of 7)	protein_coding-intron (ENST00000407977.7, intron 2 of 9)	14746	ENST00000577625.5	ENSG00000108375	ENST00000581868			RNF43			protein_coding
chr12-95	chr12	55829673	55829915	+	1	NA	promoter-TSS (ENST00000546957.2)	protein_coding-promoter-TSS (ENST00000546957.2)	186	ENST00000478241.6	ENSG00000293491	ENST00000637092			TMEM198B			lncRNA
chr12-5	chr12	109052449	109052691	+	1	NA	promoter-TSS (ENST00000257548.10)	protein_coding-promoter-TSS (ENST00000257548.10)	-6	ENST00000257548.10	ENSG00000135093	ENST00000479219			USP30			protein_coding
chr2-3144	chr2	237502713	237502955	+	1	NA	intron (ENST00000469619.5, intron 2 of 3)	protein_coding-intron (ENST00000264605.8, intron 2 of 15)	-7236	ENST00000477501.5	ENSG00000115648	ENST00000422695			MLPH			protein_coding
chr11-2079	chr11	70422806	70423048	+	1	NA	exon (ENST00000525852.3, exon 1 of 2)	protein_coding-exon (ENST00000525852.3, exon 1 of 2)	424	ENST00000393747.3	ENSG00000085733	ENST00000525852			CTTN			protein_coding
chr13-1619	chr13	25857758	25858000	+	1	NA	intron (ENST00000684424.1, intron 29 of 35)	protein_coding-intron (ENST00000281620.11, intron 31 of 37)	5788	ENST00000447435.1	ENSG00000180803	ENST00000447435			ENSG00000180803			processed_pseudogene
chr2-5641	chr2	242055358	242055600	+	1	NA	intron (ENST00000446593.1, intron 2 of 3)	lncRNA-intron (ENST00000415434.5, intron 3 of 3)	-13978	ENST00000664151.1	ENSG00000287971	ENST00000664151			ENSG00000287971			lncRNA
chr7-2630	chr7	134316914	134317156	+	1	NA	promoter-TSS (ENST00000378509.9)	protein_coding-promoter-TSS (ENST00000378509.9)	-105	ENST00000378509.9	ENSG00000205060	ENST00000378509			SLC35B4			protein_coding
chr17-956	chr17	40576096	40576338	+	1	NA	Intergenic	Intergenic	-10745	ENST00000246657.2	ENSG00000126353	ENST00000578085			CCR7			protein_coding
chr1-143	chr1	201153956	201154198	+	1	NA	promoter-TSS (ENST00000455367.5)	protein_coding-promoter-TSS (ENST00000455367.5)	-116	ENST00000495205.1	ENSG00000116857	ENST00000472411			TMEM9			protein_coding
chr3-5009	chr3	62597519	62597761	+	1	NA	intron (ENST00000612439.4, intron 6 of 27)	protein_coding-intron (ENST00000283269.13, intron 6 of 27)	-12394	ENST00000542833.1	ENSG00000163618	ENST00000466621			CADPS			protein_coding
chr16-71	chr16	2205239	2205481	+	1	NA	promoter-TSS (ENST00000301724.14)	protein_coding-promoter-TSS (ENST00000301724.14)	-90	ENST00000564294.5	ENSG00000167965	ENST00000562479			MLST8			protein_coding
chr20-6207	chr20	49859979	49860221	+	1	NA	intron (ENST00000417961.5, intron 8 of 15)	protein_coding-intron (ENST00000361573.3, intron 8 of 15)	-26271	ENST00000490250.1	ENSG00000197818	ENST00000361573			SLC9A8			protein_coding
chr22-121	chr22	46609302	46609544	+	1	NA	intron (ENST00000431155.1, intron 1 of 1)	protein_coding-intron (ENST00000431155.1, intron 1 of 1)	-10963	ENST00000406902.6	ENSG00000075240	ENST00000431155			GRAMD4			protein_coding
chr2-3067	chr2	217247505	217247747	+	1	NA	intron (ENST00000695940.1, intron 2 of 2)	lncRNA-intron (ENST00000695932.1, intron 3 of 11)	-3930	ENST00000516173.1	ENSG00000251982	ENST00000516173			RN7SKP43			misc_RNA
chr20-1453	chr20	20017228	20017470	+	1	NA	promoter-TSS (ENST00000310450.8)	protein_coding-promoter-TSS (ENST00000310450.8)	1	ENST00000463154.5	ENSG00000173418	ENST00000398602			NAA20			protein_coding
chr1-19	chr1	157132183	157132425	+	1	NA	TTS (ENST00000326786.4)	protein_coding-TTS (ENST00000326786.4)	3942	ENST00000422857.1	ENSG00000235700	ENST00000422857			CYCSP52			processed_pseudogene
chr1-155	chr1	149712468	149712710	+	1	NA	intron (ENST00000617878.2, intron 3 of 4)	lncRNA-intron (ENST00000617878.2, intron 3 of 4)	11485	ENST00000651957.1	ENSG00000291158	ENST00000651957			LINC00869			lncRNA
chr17-3547	chr17	73564867	73565109	+	1	NA	intron (ENST00000392650.8, intron 1 of 44)	protein_coding-intron (ENST00000392650.8, intron 1 of 44)	46742	ENST00000655723.1	ENSG00000264985	ENST00000650299			ENSG00000264985			lncRNA
chr2-260	chr2	85707384	85707626	+	1	NA	Intergenic	Intergenic	12137	ENST00000526018.1	ENSG00000115523	ENST00000409696			GNLY			protein_coding
chr6-142	chr6	109892967	109893209	+	1	NA	Intergenic	Intergenic	66566	ENST00000458693.1	ENSG00000112367	ENST00000675523			FIG4			protein_coding
chr20-5584	chr20	8250639	8250881	+	1	NA	intron (ENST00000451443.1, intron 1 of 1)	protein_coding-intron (ENST00000338037.11, intron 2 of 31)	2035	ENST00000451443.1	ENSG00000225479	ENST00000451443			PLCB1-IT1			lncRNA
chr10-65	chr10	43854143	43854385	+	1	NA	intron (ENST00000649239.1, intron 2 of 6)	lncRNA-intron (ENST00000649239.1, intron 2 of 6)	-3545	ENST00000654492.1	ENSG00000226808	ENST00000665279			LINC00840			lncRNA
chr1-2775	chr1	165630712	165630954	+	1	NA	promoter-TSS (ENST00000367884.6)	protein_coding-promoter-TSS (ENST00000367884.6)	-380	ENST00000367888.8	ENSG00000143198	ENST00000609263			MGST3			protein_coding
chr3-2491	chr3	169321517	169321759	+	1	NA	intron (ENST00000485957.1, intron 2 of 2)	protein_coding-intron (ENST00000485957.1, intron 2 of 2)	-52400	ENST00000481315.1	ENSG00000085276	ENST00000464456			MECOM			protein_coding
chr6-2132	chr6	33454426	33454668	+	1	NA	promoter-TSS (ENST00000395064.3)	protein_coding-promoter-TSS (ENST00000395064.3)	4	ENST00000621915.1	ENSG00000213588	ENST00000612407			ZBTB9			protein_coding
chr16-547	chr16	47037842	47038084	+	1	NA	Intergenic	Intergenic	24006	ENST00000568326.1	ENSG00000259983	ENST00000568326			ENSG00000259983			transcribed_processed_pseudogene
chr9-2583	chr9	93143933	93144175	+	1	NA	Intergenic	Intergenic	-2986	ENST00000366188.2	ENSG00000203364	ENST00000366188			ENSG00000203364			lncRNA
chr7-2091	chr7	157405066	157405308	+	1	NA	intron (ENST00000634080.1, intron 7 of 7)	protein_coding-intron (ENST00000262177.9, intron 8 of 9)	23366	ENST00000486247.1	ENSG00000105993	ENST00000262177			DNAJB6			protein_coding
chrX-1288	chrX	101450102	101450344	+	1	NA	intron (ENST00000433011.6, intron 4 of 15)	protein_coding-intron (ENST00000433011.6, intron 4 of 15)	-6120	ENST00000414193.2	ENSG00000234557	ENST00000414193			PPIAP90			processed_pseudogene
chr19-736	chr19	56091832	56092074	+	1	NA	intron (ENST00000610935.2, intron 2 of 2)	protein_coding-intron (ENST00000586787.1, intron 1 of 1)	11531	ENST00000586787.1	ENSG00000142409	ENST00000586787			ZNF787			protein_coding
chr7-132	chr7	72326435	72326677	+	1	NA	intron (ENST00000431984.5, intron 1 of 5)	protein_coding-intron (ENST00000329008.9, intron 1 of 5)	10439	ENST00000329008.9	ENSG00000183166	ENST00000395275			CALN1			protein_coding
chr14-692	chr14	88775474	88775716	+	1	NA	intron (ENST00000554922.6, intron 1 of 43)	protein_coding-intron (ENST00000380664.9, intron 1 of 41)	16908	ENST00000380664.9	ENSG00000165521	ENST00000553526			EML5			protein_coding
chr9-41	chr9	124868964	124869206	+	1	NA	promoter-TSS (ENST00000259477.6)	protein_coding-promoter-TSS (ENST00000259477.6)	-6	ENST00000687492.1	ENSG00000289285	ENST00000687492			ENSG00000289285			lncRNA
chr1-3751	chr1	203321027	203321269	+	1	NA	Intergenic	Intergenic	-2049	ENST00000365430.1	ENSG00000202300	ENST00000365430			RNU6-487P			snRNA
chr1-6216	chr1	164748599	164748841	+	1	NA	intron (ENST00000699847.1, intron 1 of 7)	protein_coding-intron (ENST00000340699.7, intron 3 of 3)	-24192	ENST00000558837.5	ENSG00000185630	ENST00000485769			PBX1			protein_coding
chr10-267	chr10	93435180	93435422	+	1	NA	intron (ENST00000488645.1, intron 4 of 5)	protein_coding-intron (ENST00000358334.9, intron 3 of 52)	46893	ENST00000488645.1	ENSG00000138119	ENST00000474161			MYOF			protein_coding
chr22-235	chr22	43015361	43015603	+	1	NA	promoter-TSS (ENST00000263246.8)	protein_coding-promoter-TSS (ENST00000263246.8)	-333	ENST00000263246.8	ENSG00000100266	ENST00000403744			PACSIN2			protein_coding
chr12-9	chr12	13135833	13136075	+	1	NA	intron (ENST00000537625.1, intron 8 of 8)	protein_coding-intron (ENST00000537625.1, intron 8 of 8)	-32271	ENST00000542415.5	ENSG00000111305	ENST00000432710			GSG1			protein_coding
chr9-300	chr9	92325902	92326144	+	1	NA	promoter-TSS (ENST00000358855.8)	protein_coding-promoter-TSS (ENST00000358855.8)	70	ENST00000375587.8	ENSG00000188312	ENST00000375576			CENPP			protein_coding
chr18-955	chr18	11005590	11005832	+	1	NA	intron (ENST00000688929.1, intron 2 of 3)	protein_coding-intron (ENST00000302079.10, intron 2 of 50)	112094	ENST00000584321.1	ENSG00000263952	ENST00000584321			ENSG00000263952			lncRNA
chr17-436	chr17	28903082	28903324	+	1	NA	promoter-TSS (ENST00000378895.9)	protein_coding-promoter-TSS (ENST00000378895.9)	-124	ENST00000378895.9	ENSG00000167536	ENST00000581759			DHRS13			protein_coding
chr15-2268	chr15	87045791	87046033	+	1	NA	intron (ENST00000681381.1, intron 3 of 3)	protein_coding-intron (ENST00000560803.2, intron 2 of 2)	7195	ENST00000560803.2	ENSG00000273540	ENST00000567715			AGBL1			protein_coding
chr1-15	chr1	207321427	207321669	+	1	NA	promoter-TSS (ENST00000314754.12)	protein_coding-promoter-TSS (ENST00000314754.12)	10	ENST00000695827.1	ENSG00000196352	ENST00000695826			CD55			protein_coding
chr19-971	chr19	5103167	5103409	+	1	NA	intron (ENST00000611640.4, intron 9 of 23)	protein_coding-intron (ENST00000159111.9, intron 9 of 22)	-9070	ENST00000592159.1	ENSG00000127663	ENST00000588166			KDM4B			protein_coding
chr1-2462	chr1	36386013	36386255	+	1	NA	promoter-TSS (ENST00000373129.7)	protein_coding-promoter-TSS (ENST00000373129.7)	-210	ENST00000373132.4	ENSG00000196182	ENST00000460017			STK40			protein_coding
chr4-112	chr4	3827443	3827685	+	1	NA	Intergenic	Intergenic	61179	ENST00000330055.7	ENSG00000184160	ENST00000330055			ADRA2C			protein_coding
chr3-57	chr3	129565044	129565286	+	1	NA	intron (ENST00000512744.5, intron 2 of 12)	protein_coding-intron (ENST00000324093.9, intron 25 of 35)	826	ENST00000512744.5	ENSG00000004399	ENST00000512744			PLXND1			protein_coding
chr6-4	chr6	17600222	17600464	+	1	NA	promoter-TSS (ENST00000259963.4)	protein_coding-promoter-TSS (ENST00000259963.4)	-20	ENST00000688732.1	ENSG00000137414	ENST00000259963			FAM8A1			protein_coding
chr13-1413	chr13	93727391	93727633	+	1	NA	intron (ENST00000377047.9, intron 2 of 8)	protein_coding-intron (ENST00000377047.9, intron 2 of 8)	108632	ENST00000445540.1	ENSG00000224394	ENST00000445540			GPC6-AS2			lncRNA
chr1-1164	chr1	16143581	16143823	+	1	NA	intron (ENST00000358432.8, intron 3 of 16)	protein_coding-intron (ENST00000358432.8, intron 3 of 16)	2748	ENST00000480202.1	ENSG00000142627	ENST00000480202			EPHA2			protein_coding
chr11-79	chr11	72041625	72041867	+	1	NA	promoter-TSS (ENST00000536119.5)	protein_coding-promoter-TSS (ENST00000536119.5)	46	ENST00000537930.5	ENSG00000137497	ENST00000537217			NUMA1			protein_coding
chr4-708	chr4	6749593	6749835	+	1	NA	Intergenic	Intergenic	-13794	ENST00000666330.1	ENSG00000287331	ENST00000666330			ENSG00000287331			lncRNA
chr2-2626	chr2	56557246	56557488	+	1	NA	Intergenic	Intergenic	-192933	ENST00000418901.1	ENSG00000231570	ENST00000418901			PPIAP63			processed_pseudogene
chr1-8330	chr1	162846932	162847174	+	1	NA	intron (ENST00000451015.1, intron 6 of 6)	unprocessed_pseudogene-intron (ENST00000451015.1, intron 6 of 6)	8730	ENST00000524691.1	ENSG00000185860	ENST00000524691			CCDC190			protein_coding
chr8-1086	chr8	28092877	28093119	+	1	NA	promoter-TSS (ENST00000256398.13)	protein_coding-promoter-TSS (ENST00000256398.13)	-69	ENST00000537665.2	ENSG00000134014	ENST00000517975			ELP3			protein_coding
chr20-4686	chr20	19274717	19274959	+	1	NA	intron (ENST00000319682.2, intron 2 of 7)	lncRNA-intron (ENST00000319682.2, intron 2 of 7)	9758	ENST00000319682.2	ENSG00000179447	ENST00000319682			SLC24A3-AS1			lncRNA
chr14-11	chr14	24188826	24189068	+	1	NA	promoter-TSS (ENST00000354464.11)	protein_coding-promoter-TSS (ENST00000354464.11)	33	ENST00000655961.1	ENSG00000287765	ENST00000655961			ENSG00000287765			lncRNA
chr1-450	chr1	22296898	22297140	+	1	NA	Intergenic	Intergenic	26312	ENST00000487348.1	ENSG00000234397	ENST00000487348			PPIAP34			processed_pseudogene
chr6-2373	chr6	108261349	108261591	+	1	NA	promoter-TSS (ENST00000230085.13)	protein_coding-promoter-TSS (ENST00000230085.13)	182	ENST00000667578.1	ENSG00000286562	ENST00000667578			ENSG00000286562			lncRNA
chr3-355	chr3	170037871	170038113	+	1	NA	promoter-TSS (ENST00000355897.10)	protein_coding-promoter-TSS (ENST00000355897.10)	-3	ENST00000355897.10	ENSG00000173890	ENST00000491740			GPR160			protein_coding
chr1-885	chr1	182789351	182789593	+	1	NA	promoter-TSS (ENST00000367553.6)	protein_coding-promoter-TSS (ENST00000367553.6)	23	ENST00000367554.7	ENSG00000135838	ENST00000460179			NPL			protein_coding
chr10-3975	chr10	81875447	81875689	+	1	NA	promoter-TSS (ENST00000666227.1)	lncRNA-promoter-TSS (ENST00000666227.1)	227	ENST00000404547.5	ENSG00000185737	ENST00000555784			NRG3			protein_coding
chr20-2239	chr20	50377095	50377337	+	1	NA	Intergenic	Intergenic	52267	ENST00000497504.3	ENSG00000244376	ENST00000497504			RN7SL636P			misc_RNA
chr11-2979	chr11	119727696	119727938	+	1	NA	intron (ENST00000531468.2, intron 1 of 9)	protein_coding-intron (ENST00000264025.8, intron 1 of 5)	736	ENST00000341398.6	ENSG00000110400	ENST00000524510			NECTIN1			protein_coding
chr6-358	chr6	15400127	15400369	+	1	NA	intron (ENST00000397311.4, intron 2 of 17)	protein_coding-intron (ENST00000341776.7, intron 2 of 17)	-75776	ENST00000364649.1	ENSG00000201519	ENST00000364649			RNU6-645P			snRNA
chr12-1322	chr12	130179161	130179403	+	1	NA	Intergenic	Intergenic	16818	ENST00000229030.5	ENSG00000111432	ENST00000539839			FZD10			protein_coding
chr3-6	chr3	9362967	9363209	+	1	NA	promoter-TSS (ENST00000345094.7)	protein_coding-promoter-TSS (ENST00000345094.7)	-10	ENST00000515662.6	ENSG00000134077	ENST00000417036			THUMPD3			protein_coding
chr19-1711	chr19	13803158	13803400	+	1	NA	intron (ENST00000590508.6, intron 2 of 13)	protein_coding-intron (ENST00000254323.6, intron 2 of 12)	-6346	ENST00000591242.1	ENSG00000267582	ENST00000591242			ENSG00000267582			lncRNA
chr15-3	chr15	75368416	75368658	+	1	NA	promoter-TSS (ENST00000267978.10)	protein_coding-promoter-TSS (ENST00000267978.10)	51	ENST00000565652.1	ENSG00000140400	ENST00000561693			MAN2C1			protein_coding
chr12-417	chr12	124070440	124070682	+	1	NA	intron (ENST00000618862.2, intron 3 of 3)	protein_coding-intron (ENST00000389727.8, intron 2 of 4)	-15200	ENST00000621669.1	ENSG00000275389	ENST00000621669			ENSG00000275389			lncRNA
chr5-710	chr5	10467308	10467550	+	1	NA	intron (ENST00000510520.5, intron 4 of 4)	protein_coding-intron (ENST00000510520.5, intron 4 of 4)	-10608	ENST00000611729.1	ENSG00000277073	ENST00000611729			MIR6131			miRNA
chr3-343	chr3	129908370	129908612	+	1	NA	TTS (ENST00000605698.2)	lncRNA-TTS (ENST00000605698.2)	6640	ENST00000604747.1	ENSG00000271270	ENST00000653304			TMCC1-DT			lncRNA
chr14-3224	chr14	96106140	96106382	+	1	NA	Intergenic	Intergenic	66877	ENST00000553782.1	ENSG00000227051	ENST00000553764			C14orf132			protein_coding
chr14-123	chr14	105603541	105603783	+	1	NA	Intergenic	Intergenic	-1934	ENST00000390541.2	ENSG00000211891	ENST00000641420			IGHE			IG_C_gene
chr9-66	chr9	129383008	129383250	+	1	NA	Intergenic	Intergenic	-2659	ENST00000444641.2	ENSG00000236146	ENST00000444641			ENSG00000236146			processed_pseudogene
chr9-110	chr9	127569573	127569815	+	1	NA	promoter-TSS (ENST00000373312.4)	protein_coding-promoter-TSS (ENST00000373312.4)	-618	ENST00000484348.2	ENSG00000136830	ENST00000484348			NIBAN2			protein_coding
chr2-269	chr2	157876280	157876522	+	1	NA	promoter-TSS (ENST00000413751.1)	protein_coding-promoter-TSS (ENST00000413751.1)	-71	ENST00000434821.7	ENSG00000115170	ENST00000683487			ACVR1			protein_coding
chr10-200	chr10	22683388	22683630	+	1	NA	intron (ENST00000605011.1, intron 1 of 4)	protein_coding-intron (ENST00000376573.9, intron 1 of 9)	8321	ENST00000605011.1	ENSG00000150867	ENST00000474335			PIP4K2A			protein_coding
chr3-1984	chr3	187740833	187741075	+	1	NA	intron (ENST00000496823.1, intron 1 of 1)	protein_coding-intron (ENST00000406870.7, intron 1 of 9)	-2732	ENST00000648485.2	ENSG00000285938	ENST00000648485			ENSG00000285938			lncRNA
chr16-465	chr16	29290931	29291173	+	1	NA	promoter-TSS (ENST00000604430.1)	lncRNA-promoter-TSS (ENST00000604430.1)	20	ENST00000687339.1	ENSG00000289029	ENST00000687339			ENSG00000289029			lncRNA
chr1-74	chr1	151166522	151166764	+	1	NA	promoter-TSS (ENST00000368908.10)	protein_coding-promoter-TSS (ENST00000368908.10)	-26	ENST00000497147.1	ENSG00000163156	ENST00000497147			SCNM1			protein_coding
chr1-2488	chr1	42937785	42938027	+	1	NA	intron (ENST00000372500.4, intron 1 of 2)	protein_coding-intron (ENST00000372500.4, intron 1 of 2)	5332	ENST00000475162.3	ENSG00000117394	ENST00000630287			SLC2A1			protein_coding
chr3-35	chr3	64613146	64613388	+	1	NA	intron (ENST00000498707.5, intron 22 of 39)	protein_coding-intron (ENST00000295903.8, intron 21 of 38)	2883	ENST00000481060.2	ENSG00000163638	ENST00000482490			ADAMTS9			protein_coding
chr1-88	chr1	146037894	146038136	+	1	NA	Intergenic	Intergenic	-1269	ENST00000636675.1	ENSG00000168509	ENST00000634927			HJV			protein_coding
chr8-413	chr8	123241280	123241522	+	1	NA	promoter-TSS (ENST00000276704.6)	protein_coding-promoter-TSS (ENST00000276704.6)	-24	ENST00000522477.1	ENSG00000189376	ENST00000521310			C8orf76			protein_coding
chr10-2624	chr10	29735063	29735305	+	1	NA	intron (ENST00000674475.1, intron 1 of 38)	protein_coding-intron (ENST00000375400.7, intron 1 of 35)	620	ENST00000375400.7	ENSG00000197321	ENST00000375400			SVIL			protein_coding
chr3-2677	chr3	12995001	12995243	+	1	NA	promoter-TSS (ENST00000473088.1)	protein_coding-promoter-TSS (ENST00000473088.1)	4	ENST00000473088.1	ENSG00000144711	ENST00000707112			IQSEC1			protein_coding
chr16-38	chr16	84246815	84247057	+	1	NA	Intergenic	Intergenic	-6924	ENST00000308251.6	ENSG00000168418	ENST00000308251			KCNG4			protein_coding
chr16-125	chr16	278952	279194	+	1	NA	intron (ENST00000412541.5, intron 1 of 1)	lncRNA-intron (ENST00000412541.5, intron 1 of 1)	-1377	ENST00000447871.5	ENSG00000242173	ENST00000477621			ARHGDIG			protein_coding
chrX-2764	chrX	151789203	151789445	+	1	NA	Intergenic	Intergenic	54578	ENST00000329903.5	ENSG00000183862	ENST00000329903			CNGA2			protein_coding
chr2-4328	chr2	11688401	11688643	+	1	NA	intron (ENST00000449576.6, intron 1 of 21)	protein_coding-intron (ENST00000449576.6, intron 1 of 21)	7061	ENST00000435175.1	ENSG00000228496	ENST00000435175			ENSG00000228496			lncRNA
chr9-665	chr9	121121635	121121877	+	1	NA	promoter-TSS (ENST00000373850.6)	protein_coding-promoter-TSS (ENST00000373850.6)	-37	ENST00000373850.6	ENSG00000119397	ENST00000691066			CNTRL			protein_coding
chr15-96	chr15	78873421	78873663	+	1	NA	promoter-TSS (ENST00000559158.5)	protein_coding-promoter-TSS (ENST00000559158.5)	-181	ENST00000559690.5	ENSG00000185787	ENST00000559244			MORF4L1			protein_coding
chr6-2639	chr6	7561609	7561851	+	1	NA	TTS (ENST00000683563.1)	protein_coding-TTS (ENST00000683563.1)	2444	ENST00000506617.1	ENSG00000096696	ENST00000379802			DSP			protein_coding
chr16-263	chr16	707352	707594	+	1	NA	promoter-TSS (ENST00000623057.2)	TEC-promoter-TSS (ENST00000623057.2)	-177	ENST00000623057.2	ENSG00000279255	ENST00000623057			ENSG00000279255			TEC
chr10-18	chr10	13586770	13587012	+	1	NA	promoter-TSS (ENST00000320054.4)	protein_coding-promoter-TSS (ENST00000320054.4)	-48	ENST00000417658.5	ENSG00000165630	ENST00000601758			PRPF18			protein_coding
chr5-602	chr5	74865736	74865978	+	1	NA	promoter-TSS (ENST00000506954.1)	protein_coding-promoter-TSS (ENST00000506954.1)	-36	ENST00000606270.1	ENSG00000271714	ENST00000606270			FAM169A-AS1			lncRNA
chr8-5560	chr8	144296505	144296747	+	1	NA	intron (ENST00000528988.1, intron 3 of 4)	protein_coding-intron (ENST00000400780.8, intron 1 of 12)	4046	ENST00000533240.5	ENSG00000185122	ENST00000533130			HSF1			protein_coding
chr12-164	chr12	2034950	2035192	+	1	NA	intron (ENST00000683956.1, intron 1 of 46)	protein_coding-intron (ENST00000682462.1, intron 1 of 46)	-13281	ENST00000541871.1	ENSG00000151067	ENST00000682835			CACNA1C			protein_coding
chr3-166	chr3	27633164	27633406	+	1	NA	promoter-TSS (ENST00000607601.2)	lncRNA-promoter-TSS (ENST00000607601.2)	-147	ENST00000607601.2	ENSG00000293322	ENST00000607601			ENSG00000293322			lncRNA
chr1-490	chr1	155562886	155563128	+	1	NA	promoter-TSS (ENST00000368346.7)	protein_coding-promoter-TSS (ENST00000368346.7)	85	ENST00000679097.1	ENSG00000116539	ENST00000478837			ASH1L			protein_coding
chr3-1064	chr3	63577056	63577298	+	1	NA	intron (ENST00000478744.1, intron 4 of 5)	protein_coding-intron (ENST00000295894.9, intron 3 of 4)	-27126	ENST00000488201.1	ENSG00000241359	ENST00000488201			SYNPR-AS1			lncRNA
chr4-73	chr4	2963367	2963609	+	1	NA	promoter-TSS (ENST00000314262.10)	protein_coding-promoter-TSS (ENST00000314262.10)	-82	ENST00000416614.7	ENSG00000087269	ENST00000507120			NOP14			protein_coding
chr14-1324	chr14	68945912	68946154	+	1	NA	intron (ENST00000684713.1, intron 1 of 20)	protein_coding-intron (ENST00000193403.10, intron 1 of 20)	1515	ENST00000553779.5	ENSG00000072110	ENST00000553779			ACTN1			protein_coding
chr12-2097	chr12	114528847	114529089	+	1	NA	Intergenic	Intergenic	-19886	ENST00000548774.1	ENSG00000255830	ENST00000548774			ENSG00000255830			processed_pseudogene
chr1-4135	chr1	28526986	28527228	+	1	NA	exon (ENST00000447051.2, exon 1 of 2)	processed_pseudogene-exon (ENST00000447051.2, exon 1 of 2)	120	ENST00000447051.2	ENSG00000231468	ENST00000447051			PRDX3P2			processed_pseudogene
chr1-160	chr1	225999316	225999558	+	1	NA	promoter-TSS (ENST00000272091.8)	protein_coding-promoter-TSS (ENST00000272091.8)	-94	ENST00000272091.8	ENSG00000143751	ENST00000272091			SDE2			protein_coding
chr9-198	chr9	127721471	127721713	+	1	NA	intron (ENST00000489226.5, intron 1 of 5)	protein_coding-intron (ENST00000373289.4, intron 6 of 13)	1303	ENST00000488285.1	ENSG00000167094	ENST00000489226			TTC16			protein_coding
chr2-29	chr2	237559041	237559283	+	1	NA	Intergenic	Intergenic	-4003	ENST00000410517.1	ENSG00000222449	ENST00000410517			RNU6-1140P			snRNA
chr10-2693	chr10	43355964	43356206	+	1	NA	Intergenic	Intergenic	-5293	ENST00000650340.1	ENSG00000285712	ENST00000650340			ENSG00000285712			lncRNA
chr22-122	chr22	50027614	50027856	+	1	NA	intron (ENST00000433387.2, intron 13 of 13)	protein_coding-intron (ENST00000433387.2, intron 13 of 13)	-14970	ENST00000695950.1	ENSG00000188263	ENST00000389983			IL17REL			protein_coding
chr8-352	chr8	124856806	124857048	+	1	NA	intron (ENST00000666508.1, intron 3 of 4)	lncRNA-intron (ENST00000528090.5, intron 3 of 5)	589	ENST00000533496.1	ENSG00000255491	ENST00000664428			ENSG00000255491			lncRNA
chr17-4841	chr17	45124529	45124771	+	1	NA	intron (ENST00000590644.5, intron 1 of 3)	protein_coding-intron (ENST00000538093.1, intron 1 of 3)	-5561	ENST00000546350.1	ENSG00000161714	ENST00000611986			PLCD3			protein_coding
chr3-139	chr3	141231503	141231745	+	1	NA	promoter-TSS (ENST00000286353.9)	protein_coding-promoter-TSS (ENST00000286353.9)	-160	ENST00000636601.1	ENSG00000155893	ENST00000636601			PXYLP1			protein_coding
chr1-3789	chr1	212916480	212916722	+	1	NA	promoter-TSS (ENST00000632866.1)	lncRNA-promoter-TSS (ENST00000632866.1)	-186	ENST00000632866.1	ENSG00000282718	ENST00000632866			ENSG00000282718			lncRNA
chr16-2094	chr16	10557933	10558175	+	1	NA	intron (ENST00000359543.8, intron 1 of 4)	protein_coding-intron (ENST00000342147.4, intron 1 of 1)	1100	ENST00000536829.1	ENSG00000213853	ENST00000342147			EMP2			protein_coding
chr1-588	chr1	174999263	174999505	+	1	NA	promoter-TSS (ENST00000367679.7)	protein_coding-promoter-TSS (ENST00000367679.7)	-51	ENST00000426793.1	ENSG00000116161	ENST00000483307			CACYBP			protein_coding
chr1-330	chr1	227766269	227766511	+	1	NA	intron (ENST00000681678.1, intron 4 of 6)	protein_coding-intron (ENST00000315781.10, intron 3 of 5)	2651	ENST00000681252.1	ENSG00000143740	ENST00000366759			SNAP47			protein_coding
chr7-64	chr7	100119164	100119406	+	1	NA	promoter-TSS (ENST00000262932.5)	protein_coding-promoter-TSS (ENST00000262932.5)	13	ENST00000691413.1	ENSG00000106290	ENST00000431404			TAF6			protein_coding
